FIRST_DIST,FIRST_Z,LINE_ID
3410.954841,230,1
3420.460435,230,1
3429.966028,230,1
3439.471721,230,1
3448.977314,230,1
3458.482907,230,1
3467.9885,230,1
3477.494093,230,1
3486.999686,230,1
3496.505379,230,1
3506.010972,230,1
3515.516566,230,1
3525.022159,230,1
3534.527752,230,1
3544.033446,230,1
3553.539039,230.0917,1
3563.044632,230.0999,1
3572.550226,230.8208,1
3582.055819,231,1
3591.561512,231,1
3601.067105,231,1
3610.572698,231,1
3620.078291,231,1
3629.583884,231,1
3639.089477,231.784,1
3648.59517,231.9951,1
3658.100763,232,1
3667.606356,232,1
3677.11195,232,1
3686.617543,232,1
3696.123236,232,1
3705.628829,232,1
3715.134422,232,1
3724.640015,232,1
3734.145608,232,1
3743.651301,232,1
3753.156896,232,1
3762.662489,232,1
3772.168082,232,1
3781.673675,232,1
3791.179268,232,1
3800.684961,232,1
3810.190554,232,1
3819.696147,232,1
3829.201741,232,1
3838.707334,232,1
3848.213027,232,1
3857.71862,232,1
3867.224213,232,1
3876.729806,232,1
3886.235399,232,1
3895.741092,232,1
3905.246685,232,1
3914.752278,231.699,1
3924.257872,231.1515,1
3933.763465,231,1
3943.269058,231,1
3952.774751,231,1
3962.280345,231,1
3971.785938,231,1
3981.291531,231,1
3990.797125,231,1
4000.302818,231,1
4009.808411,231,1
4019.314004,231,1
4028.819597,231,1
4038.32519,231,1
4047.830783,231,1
4057.336476,231,1
4066.842069,231,1
4076.347662,231,1
4085.853256,231,1
4095.358849,231,1
4104.864542,231,1
4114.370135,231,1
4123.875728,231,1
4133.381321,231,1
4142.886914,231,1
4152.392607,231,1
4161.8982,231,1
4171.403795,231,1
4180.909388,231,1
4190.414981,231,1
4199.920574,231,1
4209.426267,231,1
4218.93186,231.1065,1
4228.437453,231.142,1
4237.943047,231.1283,1
4247.44864,231.1146,1
4256.954333,231.7099,1
4266.459926,232,1
4275.965519,232,1
4285.471112,232,1
4294.976705,232,1
4304.482398,232,1
4313.987991,232,1
4323.493584,232,1
4332.999177,231.9914,1
4342.504771,231.9777,1
4352.010364,231.9878,1
4361.516057,232,1
4371.02165,232,1
4380.527244,232,1
4390.032837,232,1
4399.538431,232,1
4409.044124,232,1
4418.549717,232,1
4428.05531,232,1
4437.560903,232,1
4447.066496,232,1
4456.572189,232,1
4466.077782,232,1
4475.583375,231.8638,1
4485.088968,231.7725,1
4494.594562,231.9116,1
4504.100155,232,1
4513.605848,232,1
4523.111441,232,1
4532.617034,232,1
4542.122627,232,1
4551.62822,232,1
4561.133913,232,1
4570.639506,232,1
4580.145099,232,1
4589.650694,232,1
4599.156287,232,1
4608.66198,231.7518,1
4618.167573,231.2263,1
4627.673166,231.3453,1
4637.178759,231.5535,1
4646.684352,231.5398,1
4656.189946,231.2086,1
4665.695639,231,1
4675.201232,231,1
4684.706825,231,1
4694.212418,231,1
4703.718011,231,1
4713.223704,231,1
4722.729297,231,1
4732.23489,231,1
4741.740483,231,1
4751.246077,231,1
4760.75177,231,1
4770.257363,231,1
4779.762956,231,1
4789.268549,231,1
4798.774143,231,1
4808.279737,231,1
4817.78543,231,1
4827.291023,231,1
4836.796616,231,1
4846.302209,230.5752,1
4855.807802,230.2387,1
4865.313495,230.0979,1
4874.819088,230,1
4884.324681,230,1
4893.830274,230,1
4903.335867,230,1
4912.841561,230,1
4922.347154,230,1
4931.852747,230,1
4941.35834,230,1
4950.863933,230,1
4960.369526,230,1
4969.875219,230,1
4979.380812,230,1
4988.886405,230,1
4998.391998,230,1
5007.897593,230,1
5017.403286,230,1
5026.908879,230,1
5036.414472,230,1
5045.920065,229.4686,1
5055.425658,229,1
5064.931352,229,1
5074.436945,229,1
5083.942538,229,1
5093.448131,229,1
5102.953724,229,1
5112.459317,229,1
5121.96501,229,1
5131.470603,229,1
5140.976196,229,1
5150.481789,229,1
5159.987383,229,1
5169.493076,229,1
5178.998669,229,1
5188.504262,229,1
5198.009855,229,1
5207.515448,229,1
5217.021141,229,1
5226.526736,229,1
5236.032329,229,1
5245.537922,229,1
5255.043515,229,1
5264.549108,229,1
5274.054801,229,1
5283.560394,229,1
5293.065987,229,1
5302.57158,229,1
5312.077173,229,1
5321.582867,229,1
5331.08846,229,1
5340.594053,229,1
5350.099646,229,1
5359.605239,229,1
5369.110832,229,1
5378.616525,229,1
5388.122118,229,1
5397.627711,229,1
5407.133304,229,1
5416.638898,229,1
5426.144591,229,1
5435.650185,228.7262,1
5445.155778,228.3902,1
5454.661371,228.3766,1
5464.166964,228.3629,1
5473.672657,228.1913,1
5483.178251,228,1
5492.683844,228,1
5502.189437,228,1
5511.69503,228,1
5521.200623,228,1
5530.706316,228,1
5540.211909,228,1
5549.717502,228,1
5559.223095,228,1
5568.728688,228,1
5578.234382,228,1
5587.739975,228,1
5597.245568,228,1
5606.751161,228,1
5616.256754,228,1
5625.762447,228,1
5635.26804,228,1
5644.773635,228,1
5654.279228,228,1
